日期,天气状况,最高温度,最低温度,白天风力风向,夜晚风力风向,
2018年1月1日,多云/多云,22℃,12℃,无持续风向<3级,无持续风向<3级,
2018年1月1日,多云/多云,22℃,12℃,无持续风向<3级,无持续风向<3级,
2018年1月2日,多云/多云,22℃,15℃,无持续风向<3级,无持续风向<3级,
2018年1月3日,多云/阴,23℃,15℃,无持续风向<3级,无持续风向<3级,
2018年1月4日,多云/小雨,21℃,16℃,无持续风向<3级,无持续风向<3级,
2018年1月5日,阴/小雨,19℃,13℃,无持续风向<3级,无持续风向<3级,
2018年1月6日,小雨-中雨/中雨-大雨,15℃,11℃,无持续风向<3级,无持续风向<3级,
2018年1月7日,大雨/中雨,15℃,7℃,无持续风向<3级,北风4～5级,
2018年1月8日,中雨/小雨-中雨,12℃,5℃,北风4～5级,北风3～4级,
2018年1月9日,小雨/阴,9℃,6℃,无持续风向<3级,无持续风向<3级,
2018年1月10日,多云/多云,14℃,7℃,无持续风向<3级,无持续风向<3级,
2018年1月11日,多云/多云,15℃,6℃,无持续风向<3级,无持续风向<3级,
2018年1月12日,晴/晴,16℃,6℃,无持续风向<3级,无持续风向<3级,
2018年1月13日,晴/晴,17℃,7℃,无持续风向<3级,无持续风向<3级,
2018年1月14日,多云/多云,20℃,10℃,无持续风向<3级,无持续风向<3级,
